date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2021-05-14,venoco_bridge,6.973333333333334,45.6,19.4
2021-05-21,east_channel,9.85,53.3,17.3
2021-05-21,phelps_bridge,7.68,2.4,19.5
2021-05-21,venoco_bridge,8.57,45.93333333333333,20.666666666666668
2021-05-28,east_channel,5.54,64.6,20.4
2021-05-28,phelps_bridge,7.75,2.6,21.1
2021-05-28,venoco_bridge,9.183333333333334,47.93333333333333,24.7
2021-06-04,east_channel,9.3,65.1,20.2
2021-06-04,phelps_bridge,8.9,2.5,20.4
2021-06-04,venoco_bridge,6.613333333333333,51.666666666666664,23.266666666666666
2021-06-11,east_channel,0,0,18.3
2021-06-11,phelps_bridge,6.16,2.5,20
2021-06-11,venoco_bridge,5.3,56.3,21.6
2021-06-18,east_channel,0,0,22.8
2021-06-18,phelps_bridge,2.07,2.6,21.1
2021-06-18,venoco_bridge,2.3533333333333335,63.03333333333333,24.433333333333334
2021-06-25,east_channel,0,0,21.3
2021-06-25,phelps_bridge,7.42,2.6,23.1
2021-06-25,venoco_bridge,0,0,25.266666666666666
2021-07-02,east_channel,0,0,28.1
2021-07-02,phelps_bridge,9.55,2.6,25.4
2021-07-02,venoco_bridge,1.52,23.333333333333336,32.53333333333333
2021-07-09,east_channel,0,0,27
2021-07-09,phelps_bridge,7.67,2.9,24.4
2021-07-09,venoco_bridge,0,0,27.766666666666666
2021-07-16,east_channel,7.03,0.2,24.9
2021-07-16,phelps_bridge,6.95,2.9,22.2
2021-07-16,venoco_bridge,0,0,27.05
2021-07-23,east_channel,0,0,26.8
2021-07-23,phelps_bridge,6.67,2.9,21.3
2021-07-23,venoco_bridge,0,0,27.049999999999997
2021-07-30,east_channel,0,0,25.6
2021-07-30,phelps_bridge,3.82,2.9,20.7
2021-07-30,venoco_bridge,0,0,25.25
2021-08-06,east_channel,0,0,21
2021-08-06,phelps_bridge,2.64,3,18.9
2021-08-06,venoco_bridge,0,0,23.4
2021-08-13,east_channel,0,0,22.9
